-PEND] has_pending: sensor=Notused3, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=SccA_Ch1FaultCount, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=SccA_OutputCurrent, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=OBCAC_CHRGNEG, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=is_Main_P_Drive_On, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=SccA_String6OverVoltageFault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=SccA_ChrgCtrlIsOutputDischargedF, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=Mib5_Cell_8, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=mux, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.785] [MM2-PEND] has_pending: sensor=PrechargeOT_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=edmHV_cur, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=ChargingDerateActive, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=SccA_String7En, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=SccA_String1Voltage, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=Mib2_Cell_13, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=M3Therm0DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=LowBeamStatus, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=Mib1_Cell_0, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=Mib2_Cell_9, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=SccA_SolarCurrentAvailable, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.786] [MM2-PEND] has_pending: sensor=HVIL_3_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.787] [MM2-PEND] has_pending: sensor=Mib5_Cell_10, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.787] [MM2-PEND] has_pending: sensor=HVAC_RecircReqStatus, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.787] [MM2-PEND] has_pending: sensor=AGM_LvTest, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.787] [MM2-PEND] has_pending: sensor=SFP203_CC_charging_high, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.787] [MM2-PEND] has_pending: sensor=invCpctUlimDerStrtThr_degC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.787] [MM2-PEND] has_pending: sensor=genInstLlimTrq_nm, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.787] [MM2-PEND] has_pending: sensor=SccA_AgmMia, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.787] [MM2-PEND] has_pending: sensor=HV_PTC_HV_voltage, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.788] [MM2-PEND] has_pending: sensor=SccA_String2Voltage, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.788] [MM2-PEND] has_pending: sensor=Functionalrequest_data, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:12.788] [MM2-PEND] has_pending: sensor=Open_DCFC_P_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.120] [MM2-PEND] has_pending: sensor=Mib2_Cell_1, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.121] [MM2-PEND] has_pending: sensor=M2Therm0DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.121] [MM2-PEND] has_pending: sensor=AcChargeEnd_Fault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.121] [MM2-PEND] has_pending: sensor=is_AC_Charge_2_Closed, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.121] [MM2-PEND] has_pending: sensor=SccA_SwVerMajor, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.121] [MM2-PEND] has_pending: sensor=TwoWayPosition, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.121] [MM2-PEND] has_pending: sensor=SFP203_CC_high, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.121] [MM2-PEND] has_pending: sensor=IPS_OBCCurrActL1, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=SIM100_Hardware_Error, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=Mib0_Cell_13, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=ChargeNeg, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=SccA_String5Current, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=M4Therm2DegC, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=Mib4_Cell_0, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=SccA_String2Current, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=Mib2_Cell_7, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=Mib5_Cell_5, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=SccA_String6OverCurrentFault, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.122] [MM2-PEND] has_pending: sensor=Phone, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=drvStAckNak_sts, src=CAN_DEV, pending_count=0, result=FALSE
[00:12:13.123] [MM2-PEND] has_pending: sensor=devSysLimGenTrq_nm, src=CAN_DEV, pending_count=0, result=FALSE
